Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Bashkortostan,2020,Vodka,2304.53,5.60,2.24
Mari El,2020,Vodka,413.11,6.04,2.42
Mordovia,2020,Vodka,422.90,5.29,2.12
Tatarstan,2020,Vodka,2693.45,6.74,2.70
Udmurtia,2020,Vodka,1262.65,8.58,3.43
Chuvashia,2020,Vodka,815.73,6.76,2.71
Perm Krai,2020,Vodka,1510.66,5.87,2.35
Kirov Oblast,2020,Vodka,955.48,8.01,3.20
Nizhny Novgorod Oblast,2020,Vodka,1736.35,5.47,2.19
Orenburg Oblast,2020,Vodka,730.74,3.85,1.54
Penza Oblast,2020,Vodka,548.59,4.24,1.70
Samara Oblast,2020,Vodka,1306.94,4.08,1.63
Saratov Oblast,2020,Vodka,667.03,2.69,1.08
Ulyanovsk Oblast,2020,Vodka,496.41,4.07,1.63
Kurgan Oblast,2020,Vodka,270.32,3.38,1.35
Sverdlovsk Oblast,2020,Vodka,2319.63,5.38,2.15
Khanty–Mansi Autonomous Okrug – Yugra,2020,Vodka,1038.91,6.17,2.47
Yamalo-Nenets Autonomous Okrug,2020,Vodka,416.60,8.17,3.27
Chelyabinsk Oblast,2020,Vodka,1507.29,4.35,1.74
Tyumen Oblast,2020,Vodka,745.83,4.72,1.89
Altai Republic,2020,Vodka,102.79,4.86,1.95
Tuva,2020,Vodka,43.25,1.31,0.52
Khakassia,2020,Vodka,165.76,3.08,1.23
Altai Krai,2020,Vodka,880.15,3.96,1.58
Krasnoyarsk Krai,2020,Vodka,1261.51,4.39,1.76
Irkutsk Oblast,2020,Vodka,1289.05,5.38,2.15
Kemerovo Oblast,2020,Vodka,1358.56,5.13,2.05
Novosibirsk Oblast,2020,Vodka,1068.03,3.80,1.52
Omsk Oblast,2020,Vodka,584.31,3.07,1.23
Tomsk Oblast,2020,Vodka,487.32,4.53,1.81
Buryatia,2020,Vodka,568.01,5.78,2.31
Sakha (Yakutia),2020,Vodka,647.43,6.63,2.65
Zabaykalsky Krai,2020,Vodka,525.54,5.13,2.05
Kamchatka Krai,2020,Vodka,290.99,9.82,3.93
Primorsky Krai,2020,Vodka,1299.02,6.92,2.77
Khabarovsk Krai,2020,Vodka,1177.32,8.98,3.59
Amur Oblast,2020,Vodka,519.28,6.63,2.65
Magadan Oblast,2020,Vodka,164.58,11.87,4.75
Sakhalin Oblast,2020,Vodka,607.68,12.83,5.13
Jewish Autonomous Oblast,2020,Vodka,123.53,7.98,3.19
Chukotka Autonomous Okrug,2020,Vodka,53.41,11.00,4.40
Belgorod Oblast,2021,Vodka,578.40,3.74,1.50
Bryansk Oblast,2021,Vodka,518.68,4.40,1.76
Vladimir Oblast,2021,Vodka,931.53,6.85,2.74
Voronezh Oblast,2021,Vodka,922.59,3.98,1.59
Ivanovo Oblast,2021,Vodka,560.60,5.97,2.39
Kaluga Oblast,2021,Vodka,655.52,6.21,2.48
Kostroma Oblast,2021,Vodka,440.93,7.48,2.99
Kursk Oblast,2021,Vodka,411.16,3.77,1.51
Lipetsk Oblast,2021,Vodka,481.57,4.19,1.67
Moscow Oblast,2021,Vodka,6246.22,7.40,2.96
Oryol Oblast,2021,Vodka,292.15,4.05,1.62
Ryazan Oblast,2021,Vodka,497.22,4.48,1.79
Smolensk Oblast,2021,Vodka,580.76,6.45,2.58
Tambov Oblast,2021,Vodka,349.77,3.52,1.41
Tver Oblast,2021,Vodka,875.18,7.05,2.82
Tula Oblast,2021,Vodka,665.49,4.41,1.77
Yaroslavl Oblast,2021,Vodka,908.76,7.44,2.98
Moscow,2021,Vodka,5202.18,4.01,1.60
Republic of Karelia,2021,Vodka,585.42,10.81,4.32
Komi Republic,2021,Vodka,875.31,11.66,4.67
Nenets Autonomous Okrug,2021,Vodka,39.51,9.51,3.80
Vologda Oblast,2021,Vodka,1029.49,8.95,3.58
Kaliningrad Oblast,2021,Vodka,551.71,5.40,2.16
Leningrad Oblast,2021,Vodka,1509.55,7.63,3.05
Murmansk Oblast,2021,Vodka,563.26,8.30,3.32
Novgorod Oblast,2021,Vodka,379.21,6.45,2.58
Pskov Oblast,2021,Vodka,357.44,5.91,2.36
Saint Petersburg,2021,Vodka,2569.13,4.60,1.84
Arkhangelsk Oblast,2021,Vodka,924.13,9.28,3.71
Adygea,2021,Vodka,147.92,3.02,1.21
Kalmykia,2021,Vodka,109.07,4.06,1.62
Republic of Crimea,2021,Vodka,874.80,4.53,1.81
Krasnodar Krai,2021,Vodka,2081.74,3.58,1.43
Astrakhan Oblast,2021,Vodka,388.98,4.01,1.61
Volgograd Oblast,2021,Vodka,777.81,3.09,1.24
Rostov Oblast,2021,Vodka,1163.15,2.76,1.10
Sevastopol,2021,Vodka,289.53,5.44,2.18
Dagestan,2021,Vodka,360.81,1.14,0.46
Ingushetia,2021,Vodka,20.24,0.40,0.16
Kabardino-Balkaria,2021,Vodka,61.06,0.68,0.27
Karachay-Cherkessia,2021,Vodka,57.09,1.21,0.49
North Ossetia-Alania,2021,Vodka,52.38,0.76,0.30
Chechnya,2021,Vodka,25.52,0.17,0.07
Stavropol Krai,2021,Vodka,695.35,2.39,0.96
Bashkortostan,2021,Vodka,2337.65,5.71,2.28
Mari El,2021,Vodka,437.68,6.44,2.58
Mordovia,2021,Vodka,418.55,5.31,2.12
Tatarstan,2021,Vodka,2581.89,6.46,2.58
Udmurtia,2021,Vodka,1245.55,8.53,3.41
Chuvashia,2021,Vodka,812.32,6.80,2.72
Perm Krai,2021,Vodka,1534.36,6.02,2.41
Kirov Oblast,2021,Vodka,922.12,7.86,3.15
Nizhny Novgorod Oblast,2021,Vodka,1694.35,5.39,2.16
Orenburg Oblast,2021,Vodka,760.22,4.05,1.62
Penza Oblast,2021,Vodka,543.38,4.25,1.70
Samara Oblast,2021,Vodka,1276.01,4.01,1.60
Saratov Oblast,2021,Vodka,687.48,2.80,1.12
Ulyanovsk Oblast,2021,Vodka,490.77,4.07,1.63
Kurgan Oblast,2021,Vodka,303.30,3.85,1.54
Sverdlovsk Oblast,2021,Vodka,2365.31,5.51,2.21
Khanty–Mansi Autonomous Okrug – Yugra,2021,Vodka,1003.26,5.91,2.36
Yamalo-Nenets Autonomous Okrug,2021,Vodka,395.15,7.77,3.11
Chelyabinsk Oblast,2021,Vodka,1615.83,4.69,1.88
Tyumen Oblast,2021,Vodka,762.15,4.80,1.92
Altai Republic,2021,Vodka,117.72,5.58,2.23
Tuva,2021,Vodka,80.28,2.41,0.96
Khakassia,2021,Vodka,172.69,3.22,1.29
Altai Krai,2021,Vodka,902.42,4.12,1.65
Krasnoyarsk Krai,2021,Vodka,1427.87,4.99,2.00
Irkutsk Oblast,2021,Vodka,1307.05,5.49,2.20
Kemerovo Oblast,2021,Vodka,1339.31,5.11,2.04
Novosibirsk Oblast,2021,Vodka,1101.73,3.93,1.57
Omsk Oblast,2021,Vodka,617.17,3.29,1.31
Tomsk Oblast,2021,Vodka,492.64,4.62,1.85
Buryatia,2021,Vodka,599.76,6.11,2.45
Sakha (Yakutia),2021,Vodka,651.67,6.60,2.64
Zabaykalsky Krai,2021,Vodka,542.62,5.35,2.14
Kamchatka Krai,2021,Vodka,281.51,9.60,3.84
Primorsky Krai,2021,Vodka,1313.80,7.07,2.83
Khabarovsk Krai,2021,Vodka,1163.96,8.99,3.59
Amur Oblast,2021,Vodka,568.28,7.35,2.94
Magadan Oblast,2021,Vodka,158.21,11.52,4.61
Sakhalin Oblast,2021,Vodka,584.71,12.46,4.98
Jewish Autonomous Oblast,2021,Vodka,125.30,8.21,3.28
Chukotka Autonomous Okrug,2021,Vodka,52.09,10.95,4.38
Belgorod Oblast,2022,Vodka,645.06,4.20,1.68
Bryansk Oblast,2022,Vodka,565.76,4.86,1.94
Vladimir Oblast,2022,Vodka,986.41,7.35,2.94
Voronezh Oblast,2022,Vodka,1011.18,4.39,1.76
Ivanovo Oblast,2022,Vodka,595.35,6.44,2.58
Kaluga Oblast,2022,Vodka,685.68,6.39,2.56
Kostroma Oblast,2022,Vodka,460.21,7.96,3.18
Kursk Oblast,2022,Vodka,459.18,4.26,1.70
Lipetsk Oblast,2022,Vodka,512.62,4.50,1.80
Moscow Oblast,2022,Vodka,6584.25,7.71,3.08
Oryol Oblast,2022,Vodka,314.83,4.43,1.77
Ryazan Oblast,2022,Vodka,531.30,4.84,1.93
Smolensk Oblast,2022,Vodka,612.68,6.91,2.76
Tambov Oblast,2022,Vodka,381.78,3.90,1.56
Tver Oblast,2022,Vodka,917.57,7.48,2.99
Tula Oblast,2022,Vodka,715.08,4.78,1.91
Yaroslavl Oblast,2022,Vodka,950.01,7.88,3.15
Moscow,2022,Vodka,5345.03,4.11,1.64
Republic of Karelia,2022,Vodka,615.12,11.55,4.62
Komi Republic,2022,Vodka,866.21,11.80,4.72
Nenets Autonomous Okrug,2022,Vodka,40.86,9.86,3.95
Vologda Oblast,2022,Vodka,1060.35,9.31,3.73
Kaliningrad Oblast,2022,Vodka,611.67,5.93,2.37
Leningrad Oblast,2022,Vodka,1631.95,8.14,3.25
Murmansk Oblast,2022,Vodka,576.29,8.66,3.47
Novgorod Oblast,2022,Vodka,406.31,6.99,2.79
Pskov Oblast,2022,Vodka,395.83,6.63,2.65
Saint Petersburg,2022,Vodka,2752.56,4.91,1.96
Arkhangelsk Oblast,2022,Vodka,944.39,9.69,3.88
Adygea,2022,Vodka,162.97,3.27,1.31
Kalmykia,2022,Vodka,116.12,4.36,1.74
Republic of Crimea,2022,Vodka,951.35,4.93,1.97
Krasnodar Krai,2022,Vodka,2274.67,3.90,1.56
Astrakhan Oblast,2022,Vodka,408.73,4.27,1.71
Volgograd Oblast,2022,Vodka,858.52,3.44,1.38
Rostov Oblast,2022,Vodka,1287.70,3.07,1.23
Sevastopol,2022,Vodka,300.11,5.48,2.19
Dagestan,2022,Vodka,365.39,1.15,0.46
Ingushetia,2022,Vodka,24.78,0.48,0.19
Kabardino-Balkaria,2022,Vodka,71.55,0.79,0.32
Karachay-Cherkessia,2022,Vodka,72.45,1.54,0.62
North Ossetia-Alania,2022,Vodka,57.05,0.83,0.33
Chechnya,2022,Vodka,15.02,0.10,0.04
Stavropol Krai,2022,Vodka,769.54,2.65,1.06
Bashkortostan,2022,Vodka,2453.73,6.00,2.40
Mari El,2022,Vodka,460.23,6.80,2.72
Mordovia,2022,Vodka,437.73,5.60,2.24
Tatarstan,2022,Vodka,2709.32,6.77,2.71
Udmurtia,2022,Vodka,1252.66,8.65,3.46
Chuvashia,2022,Vodka,856.56,7.24,2.89
Perm Krai,2022,Vodka,1575.05,6.24,2.49
Kirov Oblast,2022,Vodka,938.95,8.17,3.27
Nizhny Novgorod Oblast,2022,Vodka,1797.62,5.78,2.31
Orenburg Oblast,2022,Vodka,874.46,4.71,1.88
Penza Oblast,2022,Vodka,597.63,4.74,1.90
Samara Oblast,2022,Vodka,1364.66,4.31,1.73
Saratov Oblast,2022,Vodka,755.59,3.11,1.24
Ulyanovsk Oblast,2022,Vodka,520.19,4.37,1.75
Kurgan Oblast,2022,Vodka,337.95,4.38,1.75
Sverdlovsk Oblast,2022,Vodka,2522.23,5.92,2.37
Khanty–Mansi Autonomous Okrug – Yugra,2022,Vodka,1028.06,6.00,2.40
Yamalo-Nenets Autonomous Okrug,2022,Vodka,403.69,7.90,3.16
Chelyabinsk Oblast,2022,Vodka,1690.96,4.94,1.98
Tyumen Oblast,2022,Vodka,844.51,5.27,2.11
Altai Republic,2022,Vodka,129.63,6.15,2.46
Tuva,2022,Vodka,88.08,2.62,1.05
Khakassia,2022,Vodka,210.26,3.94,1.58
Altai Krai,2022,Vodka,951.64,4.42,1.77
Krasnoyarsk Krai,2022,Vodka,1530.75,5.36,2.14
Irkutsk Oblast,2022,Vodka,1384.43,5.86,2.34
Kemerovo Oblast,2022,Vodka,1382.70,5.33,2.13
Novosibirsk Oblast,2022,Vodka,1179.57,4.22,1.69
Omsk Oblast,2022,Vodka,684.65,3.70,1.48
Tomsk Oblast,2022,Vodka,521.70,4.91,1.96
Buryatia,2022,Vodka,634.40,6.49,2.59
Sakha (Yakutia),2022,Vodka,683.31,6.85,2.74
Zabaykalsky Krai,2022,Vodka,600.61,6.00,2.40
Kamchatka Krai,2022,Vodka,291.15,9.95,3.98
Primorsky Krai,2022,Vodka,1379.07,7.49,2.99
Khabarovsk Krai,2022,Vodka,1157.93,8.96,3.58
Amur Oblast,2022,Vodka,614.27,8.04,3.22
Magadan Oblast,2022,Vodka,155.58,11.45,4.58
Sakhalin Oblast,2022,Vodka,583.19,12.51,5.01
Jewish Autonomous Oblast,2022,Vodka,130.59,8.73,3.49
Chukotka Autonomous Okrug,2022,Vodka,51.59,10.77,4.31
Belgorod Oblast,2023,Vodka,609.65,4.03,1.61
Bryansk Oblast,2023,Vodka,573.07,4.97,1.99
Vladimir Oblast,2023,Vodka,957.52,7.22,2.89
Voronezh Oblast,2023,Vodka,1040.86,4.55,1.82
Ivanovo Oblast,2023,Vodka,593.84,6.49,2.60
Kaluga Oblast,2023,Vodka,666.22,6.22,2.49
Kostroma Oblast,2023,Vodka,446.95,7.82,3.13
Kursk Oblast,2023,Vodka,465.99,4.37,1.75
Lipetsk Oblast,2023,Vodka,530.65,4.71,1.88
Moscow Oblast,2023,Vodka,6423.38,7.48,2.99
Oryol Oblast,2023,Vodka,317.04,4.53,1.81
Ryazan Oblast,2023,Vodka,524.44,4.82,1.93
Smolensk Oblast,2023,Vodka,601.86,6.89,2.76
Tambov Oblast,2023,Vodka,391.91,4.06,1.62
Tver Oblast,2023,Vodka,907.69,7.49,3.00
Tula Oblast,2023,Vodka,717.91,4.85,1.94
Yaroslavl Oblast,2023,Vodka,944.95,7.91,3.16
Moscow,2023,Vodka,5105.69,3.90,1.56
Republic of Karelia,2023,Vodka,598.01,11.33,4.53
Komi Republic,2023,Vodka,813.04,11.19,4.48
Nenets Autonomous Okrug,2023,Vodka,40.63,9.82,3.93
Vologda Oblast,2023,Vodka,1018.20,9.02,3.61
Kaliningrad Oblast,2023,Vodka,605.45,5.86,2.35
Leningrad Oblast,2023,Vodka,1600.53,7.91,3.16
Murmansk Oblast,2023,Vodka,550.58,8.36,3.34
Novgorod Oblast,2023,Vodka,409.96,7.12,2.85
Pskov Oblast,2023,Vodka,390.82,6.65,2.66
Saint Petersburg,2023,Vodka,2715.92,4.85,1.94
Arkhangelsk Oblast,2023,Vodka,910.33,9.44,3.78
Adygea,2023,Vodka,169.46,3.40,1.36
Kalmykia,2023,Vodka,120.39,4.55,1.82
Republic of Crimea,2023,Vodka,1012.27,5.28,2.11
Krasnodar Krai,2023,Vodka,2468.31,4.24,1.70
Astrakhan Oblast,2023,Vodka,416.87,4.39,1.75
Volgograd Oblast,2023,Vodka,876.20,3.55,1.42
Rostov Oblast,2023,Vodka,1399.92,3.36,1.34
Sevastopol,2023,Vodka,294.01,5.27,2.11
Dagestan,2023,Vodka,353.94,1.10,0.44
Ingushetia,2023,Vodka,26.96,0.52,0.21
Kabardino-Balkaria,2023,Vodka,86.63,0.96,0.38
Karachay-Cherkessia,2023,Vodka,78.51,1.68,0.67
North Ossetia-Alania,2023,Vodka,65.71,0.97,0.39
Chechnya,2023,Vodka,8.18,0.05,0.02
Stavropol Krai,2023,Vodka,825.01,2.85,1.14
Bashkortostan,2023,Vodka,2465.70,6.05,2.42
Mari El,2023,Vodka,459.98,6.84,2.74
Mordovia,2023,Vodka,428.86,5.56,2.22
Tatarstan,2023,Vodka,2694.11,6.73,2.69
Udmurtia,2023,Vodka,1228.96,8.52,3.41
Chuvashia,2023,Vodka,847.46,7.22,2.89
Perm Krai,2023,Vodka,1550.15,6.18,2.47
Kirov Oblast,2023,Vodka,911.17,8.01,3.20
Nizhny Novgorod Oblast,2023,Vodka,1772.60,5.75,2.30
Orenburg Oblast,2023,Vodka,916.06,4.97,1.99
Penza Oblast,2023,Vodka,599.71,4.81,1.92
Samara Oblast,2023,Vodka,1383.85,4.40,1.76
Saratov Oblast,2023,Vodka,779.82,3.24,1.30
Ulyanovsk Oblast,2023,Vodka,519.36,4.40,1.76
Kurgan Oblast,2023,Vodka,340.30,4.47,1.79
Sverdlovsk Oblast,2023,Vodka,2482.48,5.86,2.34
Khanty–Mansi Autonomous Okrug – Yugra,2023,Vodka,981.56,5.67,2.27
Yamalo-Nenets Autonomous Okrug,2023,Vodka,386.81,7.55,3.02
Chelyabinsk Oblast,2023,Vodka,1734.45,5.09,2.04
Tyumen Oblast,2023,Vodka,832.68,5.18,2.07
Altai Republic,2023,Vodka,137.80,6.54,2.62
Tuva,2023,Vodka,101.90,3.02,1.21
Khakassia,2023,Vodka,220.03,4.15,1.66
Altai Krai,2023,Vodka,963.20,4.52,1.81
Krasnoyarsk Krai,2023,Vodka,1473.47,5.18,2.07
Irkutsk Oblast,2023,Vodka,1393.71,5.94,2.38
Kemerovo Oblast,2023,Vodka,1380.30,5.37,2.15
Novosibirsk Oblast,2023,Vodka,1188.67,4.25,1.70
Omsk Oblast,2023,Vodka,689.25,3.76,1.50
Tomsk Oblast,2023,Vodka,518.54,4.93,1.97
Buryatia,2023,Vodka,659.10,6.76,2.71
Sakha (Yakutia),2023,Vodka,676.50,6.78,2.71
Zabaykalsky Krai,2023,Vodka,635.28,6.40,2.56
Kamchatka Krai,2023,Vodka,278.58,9.65,3.86
Primorsky Krai,2023,Vodka,1361.76,7.48,2.99
Khabarovsk Krai,2023,Vodka,1137.05,8.85,3.54
Amur Oblast,2023,Vodka,618.15,8.17,3.27
Magadan Oblast,2023,Vodka,148.03,11.02,4.41
Sakhalin Oblast,2023,Vodka,562.21,12.21,4.88
Jewish Autonomous Oblast,2023,Vodka,128.05,8.68,3.47
Chukotka Autonomous Okrug,2023,Vodka,50.06,10.46,4.19
Belgorod Oblast,2017,Sparkling wine,121.72,0.78,0.09
Bryansk Oblast,2017,Sparkling wine,100.84,0.83,0.09
Vladimir Oblast,2017,Sparkling wine,126.90,0.91,0.10
Voronezh Oblast,2017,Sparkling wine,244.35,1.04,0.11
Ivanovo Oblast,2017,Sparkling wine,82.59,0.83,0.09
Kaluga Oblast,2017,Sparkling wine,130.29,1.24,0.14
Kostroma Oblast,2017,Sparkling wine,53.08,0.85,0.09
Kursk Oblast,2017,Sparkling wine,110.33,0.99,0.11
Lipetsk Oblast,2017,Sparkling wine,105.04,0.90,0.10
Moscow Oblast,2017,Sparkling wine,1575.17,1.98,0.22
Oryol Oblast,2017,Sparkling wine,84.46,1.12,0.12
Ryazan Oblast,2017,Sparkling wine,119.79,1.06,0.12
Smolensk Oblast,2017,Sparkling wine,122.94,1.31,0.14
Tambov Oblast,2017,Sparkling wine,66.13,0.64,0.07
Tver Oblast,2017,Sparkling wine,158.20,1.22,0.13
Tula Oblast,2017,Sparkling wine,131.72,0.86,0.09
Yaroslavl Oblast,2017,Sparkling wine,155.31,1.23,0.14
Moscow,2017,Sparkling wine,2337.14,1.87,0.21
Republic of Karelia,2017,Sparkling wine,83.45,1.42,0.16
Komi Republic,2017,Sparkling wine,117.75,1.45,0.16
Nenets Autonomous Okrug,2017,Sparkling wine,9.77,2.31,0.25
Vologda Oblast,2017,Sparkling wine,108.79,0.92,0.10
Kaliningrad Oblast,2017,Sparkling wine,90.66,0.92,0.10
Leningrad Oblast,2017,Sparkling wine,298.35,1.62,0.18
Murmansk Oblast,2017,Sparkling wine,174.00,2.40,0.26
Novgorod Oblast,2017,Sparkling wine,67.31,1.10,0.12
Pskov Oblast,2017,Sparkling wine,85.21,1.35,0.15
Saint Petersburg,2017,Sparkling wine,1099.75,2.03,0.22
Arkhangelsk Oblast,2017,Sparkling wine,169.84,1.59,0.17
Adygea,2017,Sparkling wine,46.84,1.00,0.11
Kalmykia,2017,Sparkling wine,6.09,0.22,0.02
Republic of Crimea,2017,Sparkling wine,288.02,1.50,0.16
Krasnodar Krai,2017,Sparkling wine,822.27,1.46,0.16
Astrakhan Oblast,2017,Sparkling wine,58.11,0.58,0.06
Volgograd Oblast,2017,Sparkling wine,251.91,0.98,0.11
Rostov Oblast,2017,Sparkling wine,403.26,0.95,0.10
Sevastopol,2017,Sparkling wine,129.29,2.82,0.31
Dagestan,2017,Sparkling wine,29.14,0.10,0.01
Ingushetia,2017,Sparkling wine,0.10,0.00,0.00
Kabardino-Balkaria,2017,Sparkling wine,15.78,0.18,0.02
Karachay-Cherkessia,2017,Sparkling wine,11.19,0.24,0.03
North Ossetia-Alania,2017,Sparkling wine,23.66,0.34,0.04
Chechnya,2017,Sparkling wine,0.36,0.00,0.00
Stavropol Krai,2017,Sparkling wine,221.28,0.77,0.08
Bashkortostan,2017,Sparkling wine,271.66,0.66,0.07
Mari El,2017,Sparkling wine,34.49,0.50,0.06
Mordovia,2017,Sparkling wine,44.29,0.54,0.06
Tatarstan,2017,Sparkling wine,213.45,0.54,0.06
Udmurtia,2017,Sparkling wine,110.54,0.74,0.08
Chuvashia,2017,Sparkling wine,56.29,0.46,0.05
Perm Krai,2017,Sparkling wine,192.91,0.74,0.08
Kirov Oblast,2017,Sparkling wine,114.36,0.92,0.10
Nizhny Novgorod Oblast,2017,Sparkling wine,331.57,1.03,0.11
Orenburg Oblast,2017,Sparkling wine,146.22,0.75,0.08
Penza Oblast,2017,Sparkling wine,74.17,0.56,0.06
Samara Oblast,2017,Sparkling wine,301.10,0.93,0.10
Saratov Oblast,2017,Sparkling wine,166.21,0.66,0.07
Ulyanovsk Oblast,2017,Sparkling wine,101.22,0.81,0.09
Kurgan Oblast,2017,Sparkling wine,67.42,0.81,0.09
Sverdlovsk Oblast,2017,Sparkling wine,517.32,1.20,0.13
Khanty–Mansi Autonomous Okrug – Yugra,2017,Sparkling wine,254.88,1.54,0.17
Yamalo-Nenets Autonomous Okrug,2017,Sparkling wine,92.02,1.80,0.20
Chelyabinsk Oblast,2017,Sparkling wine,363.65,1.04,0.11
Tyumen Oblast,2017,Sparkling wine,162.66,1.08,0.12
Altai Republic,2017,Sparkling wine,7.11,0.34,0.04
Tuva,2017,Sparkling wine,10.99,0.34,0.04
Khakassia,2017,Sparkling wine,40.25,0.75,0.08
Altai Krai,2017,Sparkling wine,127.00,0.55,0.06
Krasnoyarsk Krai,2017,Sparkling wine,361.03,1.25,0.14
Irkutsk Oblast,2017,Sparkling wine,233.43,0.97,0.11
Kemerovo Oblast,2017,Sparkling wine,212.73,0.79,0.09
Novosibirsk Oblast,2017,Sparkling wine,268.63,0.96,0.11
Omsk Oblast,2017,Sparkling wine,179.51,0.92,0.10
Tomsk Oblast,2017,Sparkling wine,117.57,1.09,0.12
Buryatia,2017,Sparkling wine,43.67,0.44,0.05
Sakha (Yakutia),2017,Sparkling wine,124.66,1.29,0.14
Zabaykalsky Krai,2017,Sparkling wine,51.64,0.49,0.05
Kamchatka Krai,2017,Sparkling wine,94.54,3.11,0.34
Primorsky Krai,2017,Sparkling wine,307.84,1.61,0.18
Khabarovsk Krai,2017,Sparkling wine,307.68,2.31,0.25
Amur Oblast,2017,Sparkling wine,84.21,1.06,0.12
Magadan Oblast,2017,Sparkling wine,44.53,3.08,0.34
Sakhalin Oblast,2017,Sparkling wine,160.20,3.36,0.37
Jewish Autonomous Oblast,2017,Sparkling wine,17.72,1.10,0.12
Chukotka Autonomous Okrug,2017,Sparkling wine,9.82,2.02,0.22
Belgorod Oblast,2018,Sparkling wine,118.61,0.76,0.08
Bryansk Oblast,2018,Sparkling wine,99.01,0.82,0.09
Vladimir Oblast,2018,Sparkling wine,130.19,0.94,0.10
Voronezh Oblast,2018,Sparkling wine,242.28,1.03,0.11
Ivanovo Oblast,2018,Sparkling wine,85.61,0.87,0.10
Kaluga Oblast,2018,Sparkling wine,129.99,1.24,0.14
Kostroma Oblast,2018,Sparkling wine,52.42,0.85,0.09
Kursk Oblast,2018,Sparkling wine,106.99,0.96,0.11
Lipetsk Oblast,2018,Sparkling wine,103.86,0.89,0.10
Moscow Oblast,2018,Sparkling wine,1661.73,2.05,0.23
Oryol Oblast,2018,Sparkling wine,81.26,1.09,0.12
Ryazan Oblast,2018,Sparkling wine,119.12,1.05,0.12
Smolensk Oblast,2018,Sparkling wine,120.52,1.29,0.14
Tambov Oblast,2018,Sparkling wine,68.14,0.66,0.07
Tver Oblast,2018,Sparkling wine,157.68,1.23,0.14
Tula Oblast,2018,Sparkling wine,133.63,0.87,0.10
Yaroslavl Oblast,2018,Sparkling wine,157.25,1.26,0.14
Moscow,2018,Sparkling wine,2416.11,1.91,0.21
Republic of Karelia,2018,Sparkling wine,78.60,1.37,0.15
Komi Republic,2018,Sparkling wine,114.74,1.44,0.16
Nenets Autonomous Okrug,2018,Sparkling wine,9.16,2.18,0.24
Vologda Oblast,2018,Sparkling wine,107.94,0.92,0.10
Kaliningrad Oblast,2018,Sparkling wine,106.69,1.07,0.12
Leningrad Oblast,2018,Sparkling wine,297.61,1.59,0.17
Murmansk Oblast,2018,Sparkling wine,147.64,2.07,0.23
Novgorod Oblast,2018,Sparkling wine,65.75,1.09,0.12
Pskov Oblast,2018,Sparkling wine,81.56,1.30,0.14
Saint Petersburg,2018,Sparkling wine,1110.85,2.02,0.22
Arkhangelsk Oblast,2018,Sparkling wine,164.48,1.57,0.17
Adygea,2018,Sparkling wine,40.83,0.86,0.10
Kalmykia,2018,Sparkling wine,5.91,0.22,0.02
Republic of Crimea,2018,Sparkling wine,309.11,1.60,0.18
Krasnodar Krai,2018,Sparkling wine,835.21,1.47,0.16
Astrakhan Oblast,2018,Sparkling wine,55.74,0.56,0.06
Volgograd Oblast,2018,Sparkling wine,240.18,0.94,0.10
Rostov Oblast,2018,Sparkling wine,405.66,0.96,0.11
Sevastopol,2018,Sparkling wine,141.04,2.94,0.32
Dagestan,2018,Sparkling wine,27.57,0.09,0.01
Ingushetia,2018,Sparkling wine,0.17,0.00,0.00
Kabardino-Balkaria,2018,Sparkling wine,15.92,0.18,0.02
Karachay-Cherkessia,2018,Sparkling wine,9.97,0.21,0.02
North Ossetia-Alania,2018,Sparkling wine,22.85,0.33,0.04
Chechnya,2018,Sparkling wine,0.35,0.00,0.00
Stavropol Krai,2018,Sparkling wine,217.59,0.76,0.08
Bashkortostan,2018,Sparkling wine,278.87,0.68,0.07
Mari El,2018,Sparkling wine,36.55,0.53,0.06
Mordovia,2018,Sparkling wine,46.45,0.57,0.06
Tatarstan,2018,Sparkling wine,227.17,0.57,0.06
Udmurtia,2018,Sparkling wine,109.31,0.73,0.08
Chuvashia,2018,Sparkling wine,58.60,0.48,0.05
Perm Krai,2018,Sparkling wine,199.72,0.77,0.08
Kirov Oblast,2018,Sparkling wine,117.76,0.96,0.11
Nizhny Novgorod Oblast,2018,Sparkling wine,353.00,1.10,0.12
Orenburg Oblast,2018,Sparkling wine,142.49,0.74,0.08
Penza Oblast,2018,Sparkling wine,79.71,0.60,0.07
Samara Oblast,2018,Sparkling wine,305.05,0.95,0.10
Saratov Oblast,2018,Sparkling wine,167.90,0.67,0.07
Ulyanovsk Oblast,2018,Sparkling wine,98.23,0.79,0.09
Kurgan Oblast,2018,Sparkling wine,65.68,0.80,0.09
Sverdlovsk Oblast,2018,Sparkling wine,514.89,1.19,0.13
Khanty–Mansi Autonomous Okrug – Yugra,2018,Sparkling wine,242.91,1.46,0.16
Yamalo-Nenets Autonomous Okrug,2018,Sparkling wine,86.67,1.70,0.19
Chelyabinsk Oblast,2018,Sparkling wine,363.45,1.04,0.11
Tyumen Oblast,2018,Sparkling wine,163.56,1.07,0.12
Altai Republic,2018,Sparkling wine,6.78,0.32,0.04
Tuva,2018,Sparkling wine,11.46,0.35,0.04
Khakassia,2018,Sparkling wine,43.84,0.81,0.09
